Lower Case,Remove Stop Words,Stem,Max Features,N-gram Range,TF,TFIDF,Alpha_Naive_Bayes,Binarize_Naive_Bayes,Accuracy,Macro Precision,Macro Recall,Macro F1-Score,Functional-Method Precision,Functional-Method Recall,Functional-Method F1-Score,Functional-Method Support,Functional-Module Precision,Functional-Module Recall,Functional-Module F1-Score,Functional-Module Support,Functional-Inline Precision,Functional-Inline Recall,Functional-Inline F1-Score,Functional-Inline Support,Code Precision,Code Recall,Code F1-Score,Code Support,IDE Precision,IDE Recall,IDE F1-Score,IDE Support,General Precision,General Recall,General F1-Score,General Support,Notice Precision,Notice Recall,Notice F1-Score,Notice Support,ToDo Precision,ToDo Recall,ToDo F1-Score,ToDo Support
False,False,False,1000,1.3,False,False,1e-05,0.0,90.30060656103238,0.83578338240136,0.8552991323254664,0.8311354291909563,0.9065530447244896,0.9275461181154613,0.9168417355528806,274.7,0.7148094965360171,0.91595547309833,0.8024680714561594,98.8,0.9665059400642342,0.596103896103896,0.7371312098726185,154.0,0.6283333333333334,0.625,0.5895238095238095,3.3,0.9976710186318509,0.9924248606011151,0.9950300071509982,171.7,0.9919585075597711,0.9988916222495557,0.9954019686094414,270.6,0.5999133832155421,0.8257142857142858,0.6947980046637253,49.9,0.8805223351456413,0.9607568027210883,0.9178886266980177,48.2
False,False,False,1000,1.3,True,False,1,0.0,90.36600087796313,0.764493124351679,0.7707228363651532,0.7619147097762571,0.8800665789405716,0.9421114797611148,0.9099833569937614,274.7,0.7182979390410993,0.9199649556792414,0.8064217127750734,98.8,0.9382086575023487,0.6461038961038963,0.7647711183895798,154.0,0.0,0.0,0.0,3.3,0.9965183099344455,0.9930062559499524,0.9947435273994845,171.7,0.9910872113226221,0.982995763290966,0.9870064369389819,270.6,0.6598741231421728,0.7334285714285714,0.6927891792091577,49.9,0.9318921749301726,0.9481717687074829,0.9396023465040167,48.2
False,False,False,1000,1.3,True,False,0.001,0.0,90.97278836907898,0.8495780973166042,0.8536918221651716,0.8410734991099401,0.8900764705674387,0.942112806901128,0.9152865175737054,274.7,0.7462239243424121,0.9038033395176251,0.8170082166709106,98.8,0.9593729524106639,0.6266233766233766,0.757870748069527,154.0,0.63,0.5833333333333333,0.5780952380952382,3.3,0.9976710186318509,0.9924248606011151,0.9950300071509982,171.7,0.991947987676976,0.9988916222495557,0.9953992962900952,270.6,0.6417252255019934,0.8237142857142856,0.721096340625454,49.9,0.9396071994014996,0.9586309523809524,0.9488016284035931,48.2
False,False,False,1000,1.3,True,False,1e-05,0.0,90.92611173822765,0.8555977386896515,0.8544468018085439,0.8428308036478349,0.8882731583698714,0.9424764432647643,0.9145035758657787,274.7,0.7457654128109111,0.8957122242836528,0.8133709190206291,98.8,0.9583512273778292,0.6259740259740261,0.7570557462843659,154.0,0.6833333333333333,0.5916666666666667,0.595952380952381,3.3,0.9976710186318509,0.9924248606011151,0.9950300071509982,171.7,0.9915883327333794,0.9988916222495557,0.9952171542730909,270.6,0.6418076114739224,0.8277142857142856,0.7225925682522502,49.9,0.937991814786115,0.9607142857142856,0.9489240773831848,48.2
False,False,False,1000,1.3,False,True,1,0.0,90.33799838343299,0.7702450728297299,0.770724005934,0.7663682861482276,0.8659550784340786,0.94757398805574,0.9048893651416746,274.7,0.740653510553306,0.8694083694083694,0.7994082962276589,98.8,0.9170712252349421,0.6512987012987013,0.761230610399326,154.0,0.0,0.0,0.0,3.3,0.9965316753447635,0.995923432612539,0.9962115035228456,171.7,0.9899952528952666,0.9833647669810031,0.9866470241152095,270.6,0.7304478844234792,0.753469387755102,0.7406514046200321,49.9,0.9213059557520046,0.9647534013605442,0.9419080851590742,48.2
False,False,False,1000,1.3,False,True,0.001,0.0,90.6740108978915,0.8405808020010521,0.8510754972060898,0.8374815955325363,0.8828785749578077,0.9432010617120106,0.9119680120439322,274.7,0.7526563973941987,0.8734281591424449,0.8079100690676382,98.8,0.9342201918393552,0.6318181818181818,0.7533545432167201,154.0,0.5900000000000001,0.6166666666666667,0.5816666666666668,3.3,0.9976710186318509,0.9924248606011151,0.9950300071509982,171.7,0.9901497138091022,0.9992606259395928,0.9946741187430528,270.6,0.6493846601964515,0.8056734693877552,0.7186861152831543,49.9,0.9276858591796501,0.9461309523809524,0.9365632320881293,48.2
False,False,False,1000,1.3,False,True,1e-05,0.0,90.73002459690345,0.8486647664051574,0.8491885699207984,0.8401321696592069,0.881270519805539,0.945021897810219,0.9119647875956932,274.7,0.7561618859209108,0.8693877551020408,0.8080372167760617,98.8,0.9333201791366644,0.631818181818182,0.753004818457807,154.0,0.65,0.5916666666666667,0.5954761904761905,3.3,0.9976710186318509,0.9924248606011151,0.9950300071509982,171.7,0.9901497138091022,0.9992606259395928,0.9946741187430528,270.6,0.654448095029035,0.8136734693877552,0.7250954280952391,49.9,0.9262967189081568,0.9502551020408161,0.9377747899786121,48.2
False,False,False,5000,1.1,False,False,1,0.0,91.1594600526778,0.832863935750669,0.8150128141848099,0.8135126015707245,0.8808215151207619,0.9428374253483742,0.9105793140127163,274.7,0.7931338297564932,0.848155019583591,0.8195822958403263,98.8,0.9460042253326995,0.6896103896103896,0.7973328128297577,154.0,0.4833333333333333,0.3,0.3438095238095238,3.3,0.9953418793458901,0.9935944512443899,0.9944605671847757,171.7,0.9862093394341803,0.9988916222495557,0.9924915926832563,270.6,0.6321637982115924,0.8155510204081633,0.7116271560684422,49.9,0.9459035654704018,0.9314625850340137,0.9382175501369978,48.2
False,False,False,5000,1.1,False,False,0.001,0.0,90.20722716947476,0.8644809492270875,0.8459499906373493,0.8466528352846684,0.8627248537692822,0.9381114797611149,0.8986186108412179,274.7,0.7912602583148836,0.7864357864357865,0.7884309458234906,98.8,0.9159534324127844,0.6876623376623376,0.7849905796634786,154.0,0.8433333333333334,0.6833333333333333,0.7240476190476192,3.3,0.9982421740626075,0.9906874745002041,0.9944418068567286,171.7,0.987981993108475,0.9988916222495557,0.9933956976234251,270.6,0.6067157115016844,0.7633877551020408,0.6750623686603283,49.9,0.9096358373136489,0.9190901360544219,0.9142350537610593,48.2
False,False,False,5000,1.1,False,False,1e-05,0.0,89.19895445740487,0.8615572049036192,0.8212322890798408,0.8270204526047509,0.8356918050688853,0.9402946250829464,0.8846137316796894,274.7,0.791011169415136,0.7408369408369408,0.7644976327710837,98.8,0.9113232886256221,0.6577922077922078,0.7632026916791805,154.0,0.8766666666666666,0.6,0.6616666666666667,3.3,0.9982421740626075,0.9906874745002041,0.9944418068567286,171.7,0.987981993108475,0.9988916222495557,0.9933956976234251,270.6,0.5847221362041349,0.7533877551020408,0.6573230862836718,49.9,0.9068184060774254,0.8879676870748299,0.8970223072775625,48.2
False,False,False,5000,1.1,True,False,1,0.0,83.69113814680101,0.7965829972257203,0.6217210966431557,0.6623953980407034,0.6411514048301283,0.9927206370272061,0.7790744491993753,274.7,0.9201692854375525,0.49699031127602566,0.6445255394419245,98.8,0.9395664906786617,0.5824675324675324,0.7185782625356574,154.0,0.0,0.0,0.0,3.3,0.9913448629401559,0.9924248606011151,0.9918617339448215,171.7,0.9681761524200615,0.9988916222495557,0.9832802461427035,270.6,0.9273106060606061,0.25240816326530613,0.3942020463378211,49.9,0.9849451754385965,0.6578656462585035,0.7876409067233241,48.2
