Lower Case,Remove Stop Words,Stem,Max Features,N-gram Range,TF,TFIDF,Alpha_Naive_Bayes,Accuracy,Macro Precision,Macro Recall,Macro F1-Score,Functional-Method Precision,Functional-Method Recall,Functional-Method F1-Score,Functional-Method Support,Functional-Module Precision,Functional-Module Recall,Functional-Module F1-Score,Functional-Module Support,Functional-Inline Precision,Functional-Inline Recall,Functional-Inline F1-Score,Functional-Inline Support,Code Precision,Code Recall,Code F1-Score,Code Support,IDE Precision,IDE Recall,IDE F1-Score,IDE Support,General Precision,General Recall,General F1-Score,General Support,Notice Precision,Notice Recall,Notice F1-Score,Notice Support,ToDo Precision,ToDo Recall,ToDo F1-Score,ToDo Support
TRUE,FALSE,TRUE,5000,1.3,TRUE,FALSE,0.001,95.88316297,0.916826217,0.890469777,0.897626671,0.978561152,0.959585932,0.96890787,274.7,0.857242231,0.913945578,0.884442207,98.8,0.91312422,0.92987013,0.921284149,154,0.766666667,0.558333333,0.617619048,3.3,0.998255775,0.998252414,0.998249009,171.7,0.999632353,0.999260626,0.999445466,270.6,0.827009691,0.795632653,0.810117901,49.9,0.994117647,0.968877551,0.980947716,48.2
TRUE,FALSE,TRUE,5000,1.3,FALSE,TRUE,0.001,95.22031823,0.908798139,0.878443014,0.887214061,0.976394035,0.961041805,0.968590138,274.7,0.849194215,0.879478458,0.863694801,98.8,0.875476301,0.90974026,0.892162852,154,0.75,0.533333333,0.593809524,3.3,0.998259175,0.998837209,0.998542259,171.7,0.999632353,0.998890256,0.999259938,270.6,0.829602945,0.779428571,0.802737571,49.9,0.991826087,0.966794218,0.978915407,48.2
TRUE,TRUE,FALSE,1000,1.1,FALSE,FALSE,0.001,95.05220745,0.899389991,0.870562087,0.877893528,0.96474452,0.953031188,0.958789001,274.7,0.812537997,0.898742527,0.852763221,98.8,0.916134124,0.927272727,0.921537722,154,0.691666667,0.525,0.563333333,3.3,0.993647994,0.998833809,0.996228445,171.7,0.999630996,0.998890256,0.999259257,270.6,0.82284096,0.679265306,0.74270858,49.9,0.993916667,0.983460884,0.988528666,48.2
TRUE,TRUE,FALSE,1000,1.1,TRUE,FALSE,0.001,95.09891892,0.902426512,0.868563364,0.876417268,0.965245147,0.957396151,0.961224231,274.7,0.824648835,0.890620491,0.855846153,98.8,0.915582924,0.918831169,0.917084592,154,0.731666667,0.491666667,0.543492063,3.3,0.998262535,0.998833809,0.998543944,171.7,0.999264706,0.998891622,0.999075777,270.6,0.788741282,0.721306122,0.752963628,49.9,0.996,0.970960884,0.983107755,48.2
TRUE,TRUE,FALSE,1000,1.1,FALSE,TRUE,0.001,94.20270845,0.895920312,0.869936306,0.876536107,0.962680396,0.955216987,0.958879027,274.7,0.814030688,0.831952175,0.821671722,98.8,0.867356312,0.898701299,0.882362689,154,0.748333333,0.591666667,0.623968254,3.3,0.996528354,0.998837209,0.997674384,171.7,0.999632353,0.998891622,0.999259939,270.6,0.787006838,0.715346939,0.748455567,49.9,0.991794218,0.968877551,0.980017277,48.2
TRUE,TRUE,FALSE,1000,1.2,FALSE,FALSE,0.001,95.2203792,0.907017017,0.871964856,0.880850347,0.974730946,0.950116788,0.962165335,274.7,0.809815726,0.926087405,0.863741638,98.8,0.91492096,0.931818182,0.923136986,154,0.758333333,0.525,0.586190476,3.3,0.996524954,0.998833809,0.997674374,171.7,0.999632353,0.999260626,0.999445466,270.6,0.810302013,0.66322449,0.72804891,49.9,0.99187585,0.981377551,0.986399592,48.2
TRUE,TRUE,FALSE,1000,1.2,TRUE,FALSE,0.001,95.18302221,0.903799891,0.876731997,0.883969486,0.973698266,0.95448706,0.9639428,274.7,0.818122788,0.905833849,0.859501965,98.8,0.913013307,0.924675325,0.918680752,154,0.75,0.558333333,0.61047619,3.3,0.99884057,0.998833809,0.998833799,171.7,0.999632353,0.999260626,0.999445466,270.6,0.781173477,0.697346939,0.735729926,49.9,0.995918367,0.975085034,0.985144987,48.2
TRUE,TRUE,FALSE,1000,1.2,FALSE,TRUE,0.001,94.2587657,0.891416349,0.861759407,0.869571523,0.96784659,0.953027206,0.960347167,274.7,0.808755316,0.861348176,0.833494317,98.8,0.874712836,0.9,0.886920593,154,0.733333333,0.533333333,0.584285714,3.3,0.997109749,0.998837209,0.997965929,171.7,0.999632353,0.999260626,0.999445466,270.6,0.758114531,0.67522449,0.711947914,49.9,0.991826087,0.973044218,0.982165086,48.2
TRUE,TRUE,FALSE,1000,1.3,FALSE,FALSE,0.001,95.09900602,0.90940396,0.872043489,0.881856818,0.976756046,0.946115461,0.961148831,274.7,0.80149085,0.920016491,0.856351709,98.8,0.910799515,0.930519481,0.920410007,154,0.791666667,0.525,0.59952381,3.3,0.996524954,0.998833809,0.997674374,171.7,0.999632353,0.999260626,0.999445466,270.6,0.804444632,0.67522449,0.732869828,49.9,0.993916667,0.981377551,0.98743052,48.2
TRUE,TRUE,FALSE,1000,1.3,TRUE,FALSE,0.001,94.8282833,0.899521741,0.873837297,0.880415051,0.968795427,0.948294625,0.9583924,274.7,0.804683193,0.896701711,0.847823472,98.8,0.91182479,0.916883117,0.914165792,154,0.75,0.558333333,0.61047619,3.3,0.99884057,0.998833809,0.998833799,171.7,0.999632353,0.999260626,0.999445466,270.6,0.768562561,0.697306122,0.729978363,49.9,0.993835034,0.975085034,0.984204925,48.2
TRUE,TRUE,FALSE,1000,1.3,FALSE,TRUE,0.001,94.1933888,0.892338606,0.862891457,0.871101271,0.965284253,0.949027206,0.95703989,274.7,0.805584767,0.856266749,0.829542523,98.8,0.877614754,0.899350649,0.888135583,154,0.75,0.533333333,0.593809524,3.3,0.997687784,0.999418605,0.99854733,171.7,0.999632353,0.999260626,0.999445466,270.6,0.751243815,0.691346939,0.719092732,49.9,0.991661121,0.975127551,0.983197116,48.2
TRUE,TRUE,FALSE,5000,1.1,FALSE,FALSE,0.001,95.65903849,0.912880537,0.878033364,0.88797449,0.968843805,0.960311878,0.964514641,274.7,0.829692237,0.911863533,0.868483193,98.8,0.928349342,0.938311688,0.933172066,154,0.741666667,0.525,0.583333333,3.3,0.995382059,0.998833809,0.997098001,171.7,1,0.999260626,0.999629628,270.6,0.849232636,0.70722449,0.771076767,49.9,0.989877551,0.983460884,0.986488288,48.2
TRUE,TRUE,FALSE,5000,1.1,TRUE,FALSE,0.001,95.66839298,0.913331973,0.875383642,0.885330653,0.974208726,0.958485733,0.966209875,274.7,0.83038305,0.916924345,0.871168384,98.8,0.925633997,0.935714286,0.930575926,154,0.766666667,0.491666667,0.563333333,3.3,0.99884057,0.998833809,0.998833799,171.7,0.999632353,0.999260626,0.999445466,270.6,0.819346686,0.731265306,0.772056906,49.9,0.991943734,0.970918367,0.981021537,48.2
