Lower Case,Remove Stop Words,Stem,Test Size,Max Features,N-gram Range,TF,IDF,TFIDF,Accuracy,Functional-Method Precision,Functional-Method Recall,Functional-Method F1-Score,Functional-Method Support,Functional-Module Precision,Functional-Module Recall,Functional-Module F1-Score,Functional-Module Support,Functional-Inline Precision,Functional-Inline Recall,Functional-Inline F1-Score,Functional-Inline Support,Code Precision,Code Recall,Code F1-Score,Code Support,IDE Precision,IDE Recall,IDE F1-Score,IDE Support,General Precision,General Recall,General F1-Score,General Support,Notice Precision,Notice Recall,Notice F1-Score,Notice Support
True,False,False,0.35,1000,(1 2),True,False,False,96.19118745332338,0.9843014128728415,0.9601837672281777,0.9720930232558139,653,0.9067796610169492,0.84251968503937,0.873469387755102,254,0.8533916849015317,0.9798994974874372,0.912280701754386,398,0.75,0.5,0.6,6,1.0,1.0,1.0,419,1.0,1.0,1.0,710,0.9813084112149533,0.8203125,0.8936170212765957,128
True,False,False,0.35,1000,(1 2),False,False,True,96.19118745332338,0.9832317073170732,0.967016491754123,0.9750566893424036,667,0.9163179916317992,0.8358778625954199,0.8742514970059879,262,0.8498845265588915,0.9709762532981531,0.9064039408866996,379,0.8888888888888888,0.8888888888888888,0.8888888888888888,9,0.9976076555023924,1.0,0.9988023952095809,417,0.9985272459499264,0.9985272459499264,0.9985272459499264,679,0.9752066115702479,0.8309859154929577,0.8973384030418251,142
True,False,False,0.35,1000,(1 3),False,False,False,95.78043315907394,0.9861963190184049,0.9540059347181009,0.9698340874811463,674,0.8893805309734514,0.8340248962655602,0.8608137044967881,241,0.8363228699551569,0.9815789473684211,0.9031476997578692,380,0.7272727272727273,0.8888888888888888,0.7999999999999999,9,0.9976958525345622,0.9976958525345622,0.9976958525345622,434,1.0,1.0,1.0,654,0.9826086956521739,0.7793103448275862,0.8692307692307691,145
True,False,False,0.35,1000,(1 3),True,False,False,96.37789395070948,0.9880597014925373,0.9594202898550724,0.9735294117647059,690,0.8913043478260869,0.8506224066390041,0.870488322717622,241,0.8581560283687943,0.9784366576819407,0.9143576826196474,371,0.75,0.75,0.75,8,1.0,1.0,1.0,416,1.0,0.9985714285714286,0.9992852037169406,700,0.9818181818181818,0.8372093023255814,0.9037656903765691,129
True,False,False,0.35,1000,(1 3),False,False,True,95.92979835698281,0.9892966360856269,0.9599406528189911,0.9743975903614457,674,0.9070796460176991,0.8333333333333334,0.8686440677966102,246,0.8294930875576036,0.967741935483871,0.8933002481389578,372,0.6666666666666666,0.5714285714285714,0.6153846153846153,7,0.9954954954954955,1.0,0.9977426636568849,442,1.0,1.0,1.0,686,0.9702970297029703,0.8032786885245902,0.8789237668161435,122
True,False,False,0.35,5000,(1 1),False,False,False,95.92979835698281,0.9891640866873065,0.9494799405646359,0.9689158453373767,673,0.9032258064516129,0.8615384615384616,0.8818897637795274,260,0.8442437923250564,0.9739583333333334,0.9044740024183797,384,0.8181818181818182,0.8181818181818182,0.8181818181818182,11,0.9928571428571429,1.0,0.996415770609319,417,1.0,1.0,1.0,675,0.9629629629629629,0.8,0.8739495798319328,130
True,False,False,0.35,5000,(1 1),True,False,False,95.59372666168782,0.9809941520467836,0.9585714285714285,0.9696531791907514,700,0.8658008658008658,0.8264462809917356,0.8456659619450319,242,0.8504464285714286,0.957286432160804,0.900709219858156,398,0.7272727272727273,0.7272727272727273,0.7272727272727273,11,0.9975186104218362,0.9975186104218362,0.9975186104218362,403,1.0,0.9985074626865672,0.9992531740104555,670,0.9719626168224299,0.8062015503875969,0.8813559322033898,129
True,False,False,0.35,5000,(1 1),False,False,True,96.37789395070948,0.9838235294117647,0.9667630057803468,0.9752186588921282,692,0.9462809917355371,0.8481481481481481,0.89453125,270,0.8516129032258064,0.9850746268656716,0.9134948096885813,402,0.8888888888888888,0.8,0.8421052631578948,10,0.9976076555023924,1.0,0.9988023952095809,417,1.0,1.0,1.0,645,0.9797979797979798,0.8083333333333333,0.8858447488584474,120
True,False,False,0.35,5000,(1 2),False,False,False,95.92979835698281,0.9856733524355301,0.9622377622377623,0.9738145789101204,715,0.8792270531400966,0.8310502283105022,0.8544600938967136,219,0.8492239467849224,0.9770408163265306,0.9086595492289443,392,0.6666666666666666,0.4,0.5,10,0.9975728155339806,1.0,0.9987849331713243,411,1.0,1.0,1.0,686,0.968421052631579,0.7540983606557377,0.847926267281106,122
True,False,False,0.35,5000,(1 2),True,False,False,96.48991784914115,0.9913793103448276,0.9583333333333334,0.9745762711864409,720,0.8893617021276595,0.8600823045267489,0.8744769874476986,243,0.8615023474178404,0.9839142091152815,0.9186483103879849,373,0.7142857142857143,0.8333333333333334,0.7692307692307692,6,1.0,0.9976190476190476,0.99880810488677,420,1.0,1.0,1.0,684,0.9904761904761905,0.832,0.9043478260869566,125
True,False,False,0.35,5000,(1 2),False,False,True,96.60194174757282,0.988835725677831,0.9657320872274143,0.9771473601260835,642,0.9068825910931174,0.8484848484848485,0.8767123287671234,264,0.8826086956521739,0.9712918660287081,0.9248291571753986,418,0.7777777777777778,0.7,0.7368421052631577,10,0.9977477477477478,1.0,0.9988726042841037,443,0.9985007496251874,1.0,0.9992498124531133,666,0.975,0.8931297709923665,0.9322709163346613,131
True,False,False,0.35,5000,(1 3),False,False,False,96.63928304705004,0.9872701555869873,0.9667590027700831,0.9769069279216235,722,0.9398148148148148,0.8493723849372385,0.8923076923076925,239,0.8554502369668247,0.9917582417582418,0.9185750636132316,364,0.8,0.8,0.8000000000000002,10,0.9925373134328358,0.9975,0.9950124688279303,400,1.0,0.9985835694050992,0.9992912827781716,706,0.9803921568627451,0.8130081300813008,0.8888888888888888,123
True,False,False,0.35,5000,(1 3),True,False,False,96.15384615384616,0.9841269841269841,0.9646393210749646,0.9742857142857143,707,0.8918918918918919,0.8389830508474576,0.8646288209606986,236,0.8552338530066815,0.9746192893401016,0.9110320284697508,394,0.75,0.6,0.6666666666666665,5,1.0,0.9974358974358974,0.9987163029525032,390,1.0,1.0,1.0,691,0.9811320754716981,0.7938931297709924,0.8776371308016877,131
True,False,False,0.35,5000,(1 3),False,False,True,95.92979835698281,0.9894736842105263,0.9536231884057971,0.9712177121771217,690,0.8936170212765957,0.8571428571428571,0.875,245,0.8444444444444444,0.9768637532133676,0.9058402860548271,389,0.8888888888888888,0.8,0.8421052631578948,10,0.9976190476190476,1.0,0.99880810488677,419,0.9985549132947977,1.0,0.9992769342010123,691,0.9603960396039604,0.7578125,0.8471615720524017,128
