Lower Case,Remove Stop Words,Stem,Max Features,N-gram Range,TF,TFIDF,Accuracy,Macro Precision,Macro Recall,Macro F1-Score,Functional-Method Precision,Functional-Method Recall,Functional-Method F1-Score,Functional-Method Support,Functional-Module Precision,Functional-Module Recall,Functional-Module F1-Score,Functional-Module Support,Functional-Inline Precision,Functional-Inline Recall,Functional-Inline F1-Score,Functional-Inline Support,Code Precision,Code Recall,Code F1-Score,Code Support,IDE Precision,IDE Recall,IDE F1-Score,IDE Support,General Precision,General Recall,General F1-Score,General Support,Notice Precision,Notice Recall,Notice F1-Score,Notice Support,ToDo Precision,ToDo Recall,ToDo F1-Score,ToDo Support
FALSE,TRUE,TRUE,1000,(1 2),TRUE,FALSE,94.79098729,0.888479668,0.87460525,0.876026002,0.964718817,0.953033842,0.958805766,274.7,0.829731437,0.884621727,0.85557301,98.8,0.90005614,0.917532468,0.908503018,154,0.66,0.583333333,0.583095238,3.3,0.99884057,0.998833809,0.998833799,171.7,1,0.999260626,0.999629628,270.6,0.762829255,0.689265306,0.722766795,49.9,0.991661121,0.970960884,0.981000761,48.2
FALSE,TRUE,TRUE,1000,(1 2),FALSE,TRUE,94.8003592,0.888234399,0.854235134,0.863550856,0.972459722,0.943566025,0.957714252,274.7,0.811136539,0.908843537,0.856476337,98.8,0.890252957,0.922727273,0.906097812,154,0.633333333,0.4,0.466666667,3.3,0.998259175,0.999418605,0.998835509,171.7,1,0.998890256,0.9994441,270.6,0.808644458,0.68322449,0.738921943,49.9,0.991789007,0.977210884,0.984250228,48.2
FALSE,TRUE,TRUE,1000,(1 3),FALSE,FALSE,94.83763779,0.876718431,0.883915535,0.875144304,0.967244752,0.942108825,0.954431798,274.7,0.803207441,0.910884354,0.853296959,98.8,0.917201823,0.931168831,0.92395207,154,0.537857143,0.658333333,0.571428571,3.3,0.995976821,0.999418605,0.99768113,171.7,0.998895702,0.998891622,0.998891618,270.6,0.799447104,0.65122449,0.71511679,49.9,0.993916667,0.979294218,0.986355492,48.2
FALSE,TRUE,TRUE,1000,(1 3),TRUE,FALSE,94.79092632,0.871233592,0.866495493,0.862567265,0.965365264,0.951941606,0.958577683,274.7,0.831757645,0.895743146,0.862075052,98.8,0.904357457,0.915584416,0.909682331,154,0.525,0.516666667,0.475714286,3.3,0.99884057,0.998833809,0.998833799,171.7,1,0.999260626,0.999629628,270.6,0.755062644,0.691306122,0.720356819,49.9,0.989485152,0.962627551,0.975668518,48.2
FALSE,TRUE,TRUE,1000,(1 3),FALSE,TRUE,94.52019489,0.880235988,0.850258689,0.854836601,0.972714646,0.943932316,0.958057754,274.7,0.809458823,0.900783344,0.851615047,98.8,0.880695293,0.916233766,0.897823682,154,0.60952381,0.408333333,0.437142857,3.3,0.998259175,0.999418605,0.998835509,171.7,1,0.998890256,0.9994441,270.6,0.785569601,0.65722449,0.714526571,49.9,0.985666558,0.977253401,0.981247286,48.2
TRUE,FALSE,FALSE,1000,(1 1),FALSE,FALSE,95.26700357,0.896432014,0.888601954,0.886438943,0.965410756,0.951213006,0.958169731,274.7,0.82490929,0.903772418,0.861995052,98.8,0.919939209,0.937012987,0.928287103,154,0.645,0.65,0.609761905,3.3,0.995411773,0.998833809,0.997104694,171.7,0.999632353,0.999260626,0.999445466,270.6,0.829276883,0.689428571,0.751356475,49.9,0.99187585,0.979294218,0.985391118,48.2
TRUE,FALSE,FALSE,1000,(1 1),TRUE,FALSE,95.08022736,0.915994782,0.892076502,0.894894765,0.96739911,0.95740146,0.962295129,274.7,0.848168205,0.876468769,0.861304911,98.8,0.900685364,0.92012987,0.910124369,154,0.845,0.683333333,0.695,3.3,0.99710971,0.997671019,0.997379434,171.7,0.999630996,0.999260626,0.999444785,270.6,0.772005684,0.733469388,0.750589993,49.9,0.997959184,0.968877551,0.983019497,48.2
TRUE,FALSE,FALSE,1000,(1 1),FALSE,TRUE,95.13629332,0.891751909,0.864207837,0.873924592,0.968761982,0.954123424,0.961271529,274.7,0.850844274,0.882508761,0.865679046,98.8,0.888680504,0.931168831,0.909348495,154,0.616666667,0.45,0.507142857,3.3,0.995411773,0.998255814,0.996811439,171.7,0.999632353,0.999260626,0.999445466,270.6,0.820191633,0.729510204,0.770761911,49.9,0.993826087,0.968835034,0.980935996,48.2
TRUE,FALSE,FALSE,1000,(1 2),FALSE,FALSE,95.11774984,0.896183823,0.883390881,0.883635502,0.968828705,0.945023225,0.95668479,274.7,0.81934752,0.91187384,0.862757416,98.8,0.909283688,0.936363636,0.92256339,154,0.656666667,0.616666667,0.59968254,3.3,0.995395426,0.999418605,0.99739128,171.7,1,0.998891622,0.999444785,270.6,0.823948582,0.675428571,0.741000448,49.9,0.996,0.983460884,0.989559368,48.2
TRUE,FALSE,FALSE,1000,(1 2),TRUE,FALSE,95.295128,0.910499063,0.883777628,0.890329459,0.975575422,0.951210352,0.963137453,274.7,0.835178642,0.909843331,0.869858587,98.8,0.910405286,0.925974026,0.917846684,154,0.791666667,0.583333333,0.63952381,3.3,0.998255775,0.998252414,0.998249009,171.7,1,0.999260626,0.999629628,270.6,0.781216265,0.731428571,0.753457318,49.9,0.991694444,0.970918367,0.98093318,48.2
